testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-09-03T01:17:17.164519+00:00,f9e6440476cb69d2dcec04f6ce8196d08bee589c,main,2025-09-03T01:16:26+00:00,2025-09-03T01:16:26+00:00,3.9.23,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.002002162,0.000017545,0.001998647,0.00001067,466,1
ubuntu-latest,2025-09-03T01:17:17.164519+00:00,f9e6440476cb69d2dcec04f6ce8196d08bee589c,main,2025-09-03T01:16:26+00:00,2025-09-03T01:16:26+00:00,3.9.23,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007110693,0.000054295,0.007091814,0.000048831,139,1
ubuntu-latest,2025-09-03T01:17:17.164519+00:00,f9e6440476cb69d2dcec04f6ce8196d08bee589c,main,2025-09-03T01:16:26+00:00,2025-09-03T01:16:26+00:00,3.9.23,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.02e-7,4.2e-8,3.97e-7,4e-9,115128,20
ubuntu-latest,2025-09-03T01:17:17.164519+00:00,f9e6440476cb69d2dcec04f6ce8196d08bee589c,main,2025-09-03T01:16:26+00:00,2025-09-03T01:16:26+00:00,3.9.23,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.632e-6,6.76e-7,4.578e-6,5.9e-8,102166,1
ubuntu-latest,2025-09-03T01:17:17.164519+00:00,f9e6440476cb69d2dcec04f6ce8196d08bee589c,main,2025-09-03T01:16:26+00:00,2025-09-03T01:16:26+00:00,3.9.23,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.13e-7,4.2e-8,4.09e-7,3e-9,114469,20
ubuntu-latest,2025-09-03T01:17:17.164519+00:00,f9e6440476cb69d2dcec04f6ce8196d08bee589c,main,2025-09-03T01:16:26+00:00,2025-09-03T01:16:26+00:00,3.9.23,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.636e-6,6.67e-7,4.579e-6,6.9e-8,111907,1
ubuntu-latest,2025-09-03T01:17:17.164519+00:00,f9e6440476cb69d2dcec04f6ce8196d08bee589c,main,2025-09-03T01:16:26+00:00,2025-09-03T01:16:26+00:00,3.9.23,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.2286659,0.012618017,0.232858626,0.017720141,5,1
