testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-09-03T01:10:15.043505+00:00,3b1dce09322ea605916ee8f45aab1f3100f32943,main,2025-09-03T01:09:32+00:00,2025-09-03T01:09:32+00:00,3.9.23,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.002037044,0.000174501,0.002011112,0.000012449,463,1
ubuntu-latest,2025-09-03T01:10:15.043505+00:00,3b1dce09322ea605916ee8f45aab1f3100f32943,main,2025-09-03T01:09:32+00:00,2025-09-03T01:09:32+00:00,3.9.23,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007062062,0.000334057,0.00698797,0.000071068,141,1
ubuntu-latest,2025-09-03T01:10:15.043505+00:00,3b1dce09322ea605916ee8f45aab1f3100f32943,main,2025-09-03T01:09:32+00:00,2025-09-03T01:09:32+00:00,3.9.23,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.11e-7,4.2e-8,4.06e-7,4e-9,114469,20
ubuntu-latest,2025-09-03T01:10:15.043505+00:00,3b1dce09322ea605916ee8f45aab1f3100f32943,main,2025-09-03T01:09:32+00:00,2025-09-03T01:09:32+00:00,3.9.23,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.631e-6,8.23e-7,4.548e-6,1.3e-7,112537,1
ubuntu-latest,2025-09-03T01:10:15.043505+00:00,3b1dce09322ea605916ee8f45aab1f3100f32943,main,2025-09-03T01:09:32+00:00,2025-09-03T01:09:32+00:00,3.9.23,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.03e-7,4.3e-8,3.98e-7,3e-9,117014,20
ubuntu-latest,2025-09-03T01:10:15.043505+00:00,3b1dce09322ea605916ee8f45aab1f3100f32943,main,2025-09-03T01:09:32+00:00,2025-09-03T01:09:32+00:00,3.9.23,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.691e-6,6.81e-7,4.638e-6,6.1e-8,110657,1
ubuntu-latest,2025-09-03T01:10:15.043505+00:00,3b1dce09322ea605916ee8f45aab1f3100f32943,main,2025-09-03T01:09:32+00:00,2025-09-03T01:09:32+00:00,3.9.23,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.22644115,0.01531251,0.226391647,0.016587814,5,1
