testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2026-09-16T15:58:06.753928+00:00,111e073ceadbcefbee678f54c3c42459fb093774,main,2026-09-16T15:57:25+00:00,2026-09-16T15:57:25+00:00,3.10.21,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.001793166,0.000105299,0.00178347,4.887e-6,485,1
ubuntu-latest,2026-09-16T15:58:06.753928+00:00,111e073ceadbcefbee678f54c3c42459fb093774,main,2026-09-16T15:57:25+00:00,2026-09-16T15:57:25+00:00,3.10.21,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.00768527,0.000068678,0.007681918,0.000067515,126,1
ubuntu-latest,2026-09-16T15:58:06.753928+00:00,111e073ceadbcefbee678f54c3c42459fb093774,main,2026-09-16T15:57:25+00:00,2026-09-16T15:57:25+00:00,3.10.21,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,3.58e-7,5.5e-8,3.5e-7,4e-9,102491,20
ubuntu-latest,2026-09-16T15:58:06.753928+00:00,111e073ceadbcefbee678f54c3c42459fb093774,main,2026-09-16T15:57:25+00:00,2026-09-16T15:57:25+00:00,3.10.21,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,8.012e-6,7.61e-7,7.936e-6,1.09e-7,64363,1
ubuntu-latest,2026-09-16T15:58:06.753928+00:00,111e073ceadbcefbee678f54c3c42459fb093774,main,2026-09-16T15:57:25+00:00,2026-09-16T15:57:25+00:00,3.10.21,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.82e-7,3.9e-8,4.78e-7,4e-9,87383,20
ubuntu-latest,2026-09-16T15:58:06.753928+00:00,111e073ceadbcefbee678f54c3c42459fb093774,main,2026-09-16T15:57:25+00:00,2026-09-16T15:57:25+00:00,3.10.21,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,8.266e-6,2.525e-6,8.052e-6,1.12e-7,69435,1
ubuntu-latest,2026-09-16T15:58:06.753928+00:00,111e073ceadbcefbee678f54c3c42459fb093774,main,2026-09-16T15:57:25+00:00,2026-09-16T15:57:25+00:00,3.10.21,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.19284582,0.003742066,0.192822458,0.007838024,6,1
