testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2026-09-18T08:26:05.863579+00:00,1e7be2c823b89b5ecf54d5878b613a772757498c,main,2026-09-18T08:25:26+00:00,2026-09-18T08:25:26+00:00,3.10.21,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.001126566,0.000021214,0.001124153,0.000028945,751,1
ubuntu-latest,2026-09-18T08:26:05.863579+00:00,1e7be2c823b89b5ecf54d5878b613a772757498c,main,2026-09-18T08:25:26+00:00,2026-09-18T08:25:26+00:00,3.10.21,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.005193395,0.000246516,0.005103182,0.000063675,189,1
ubuntu-latest,2026-09-18T08:26:05.863579+00:00,1e7be2c823b89b5ecf54d5878b613a772757498c,main,2026-09-18T08:25:26+00:00,2026-09-18T08:25:26+00:00,3.10.21,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,2.26e-7,5.5e-8,2.16e-7,1.1e-8,173131,20
ubuntu-latest,2026-09-18T08:26:05.863579+00:00,1e7be2c823b89b5ecf54d5878b613a772757498c,main,2026-09-18T08:25:26+00:00,2026-09-18T08:25:26+00:00,3.10.21,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,5.346e-6,8.06e-7,5.237e-6,2.96e-7,81847,1
ubuntu-latest,2026-09-18T08:26:05.863579+00:00,1e7be2c823b89b5ecf54d5878b613a772757498c,main,2026-09-18T08:25:26+00:00,2026-09-18T08:25:26+00:00,3.10.21,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,3.05e-7,3.7e-8,3.01e-7,7e-9,144509,20
ubuntu-latest,2026-09-18T08:26:05.863579+00:00,1e7be2c823b89b5ecf54d5878b613a772757498c,main,2026-09-18T08:25:26+00:00,2026-09-18T08:25:26+00:00,3.10.21,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,5.541e-6,8.43e-7,5.425e-6,2.57e-7,86904,1
ubuntu-latest,2026-09-18T08:26:05.863579+00:00,1e7be2c823b89b5ecf54d5878b613a772757498c,main,2026-09-18T08:25:26+00:00,2026-09-18T08:25:26+00:00,3.10.21,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.127647881,0.008665185,0.124151151,0.014209604,8,1
