testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2026-09-14T09:37:56.856482+00:00,b56dddc5c16c3519718b8fc848cada3a67b35b53,main,2026-09-14T09:37:20+00:00,2026-09-14T09:37:20+00:00,3.10.21,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.001917284,0.000284009,0.001846995,9.277e-6,458,1
ubuntu-latest,2026-09-14T09:37:56.856482+00:00,b56dddc5c16c3519718b8fc848cada3a67b35b53,main,2026-09-14T09:37:20+00:00,2026-09-14T09:37:20+00:00,3.10.21,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007749901,0.000062386,0.007751768,0.000058267,125,1
ubuntu-latest,2026-09-14T09:37:56.856482+00:00,b56dddc5c16c3519718b8fc848cada3a67b35b53,main,2026-09-14T09:37:20+00:00,2026-09-14T09:37:20+00:00,3.10.21,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.58e-7,1.8e-7,4.45e-7,2.4e-8,153398,1
ubuntu-latest,2026-09-14T09:37:56.856482+00:00,b56dddc5c16c3519718b8fc848cada3a67b35b53,main,2026-09-14T09:37:20+00:00,2026-09-14T09:37:20+00:00,3.10.21,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,8.043e-6,7.53e-7,7.96e-6,1.26e-7,52955,1
ubuntu-latest,2026-09-14T09:37:56.856482+00:00,b56dddc5c16c3519718b8fc848cada3a67b35b53,main,2026-09-14T09:37:20+00:00,2026-09-14T09:37:20+00:00,3.10.21,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,5.86e-7,1.67e-7,5.74e-7,2.4e-8,163372,1
ubuntu-latest,2026-09-14T09:37:56.856482+00:00,b56dddc5c16c3519718b8fc848cada3a67b35b53,main,2026-09-14T09:37:20+00:00,2026-09-14T09:37:20+00:00,3.10.21,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,8.248e-6,7.72e-7,8.173e-6,1.24e-7,63501,1
ubuntu-latest,2026-09-14T09:37:56.856482+00:00,b56dddc5c16c3519718b8fc848cada3a67b35b53,main,2026-09-14T09:37:20+00:00,2026-09-14T09:37:20+00:00,3.10.21,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.230494101,0.00559,0.232932459,0.008976014,5,1
