testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2026-03-10T00:08:37.225328+00:00,2bd31220be2c411e1a6df4ad870f30961798f8be,main,2026-03-10T00:07:48+00:00,2026-03-10T00:07:48+00:00,3.9.25,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.002277881,0.000020126,0.002273986,0.000011656,421,1
ubuntu-latest,2026-03-10T00:08:37.225328+00:00,2bd31220be2c411e1a6df4ad870f30961798f8be,main,2026-03-10T00:07:48+00:00,2026-03-10T00:07:48+00:00,3.9.25,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.008271149,0.000067757,0.008253264,0.000078974,119,1
ubuntu-latest,2026-03-10T00:08:37.225328+00:00,2bd31220be2c411e1a6df4ad870f30961798f8be,main,2026-03-10T00:07:48+00:00,2026-03-10T00:07:48+00:00,3.9.25,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.25e-7,4.7e-8,4.16e-7,4e-9,104516,20
ubuntu-latest,2026-03-10T00:08:37.225328+00:00,2bd31220be2c411e1a6df4ad870f30961798f8be,main,2026-03-10T00:07:48+00:00,2026-03-10T00:07:48+00:00,3.9.25,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,7.538e-6,9.7e-7,7.434e-6,9.9e-8,68550,1
ubuntu-latest,2026-03-10T00:08:37.225328+00:00,2bd31220be2c411e1a6df4ad870f30961798f8be,main,2026-03-10T00:07:48+00:00,2026-03-10T00:07:48+00:00,3.9.25,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,5.56e-7,5.5e-8,5.49e-7,4e-9,86126,20
ubuntu-latest,2026-03-10T00:08:37.225328+00:00,2bd31220be2c411e1a6df4ad870f30961798f8be,main,2026-03-10T00:07:48+00:00,2026-03-10T00:07:48+00:00,3.9.25,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,7.781e-6,1.058e-6,7.644e-6,9.1e-8,71598,1
ubuntu-latest,2026-03-10T00:08:37.225328+00:00,2bd31220be2c411e1a6df4ad870f30961798f8be,main,2026-03-10T00:07:48+00:00,2026-03-10T00:07:48+00:00,3.9.25,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.24497824,0.004124814,0.244916055,0.005634186,5,1
