testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2026-06-15T01:20:58.721016+00:00,b6f53b2ed0697db98318fdb45e26e304763b4f9a,main,2026-06-15T01:20:16+00:00,2026-06-15T01:20:16+00:00,3.10.20,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.001822626,0.000024461,0.001819561,7.992e-6,473,1
ubuntu-latest,2026-06-15T01:20:58.721016+00:00,b6f53b2ed0697db98318fdb45e26e304763b4f9a,main,2026-06-15T01:20:16+00:00,2026-06-15T01:20:16+00:00,3.10.20,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007806814,0.000076868,0.007777956,0.000062465,124,1
ubuntu-latest,2026-06-15T01:20:58.721016+00:00,b6f53b2ed0697db98318fdb45e26e304763b4f9a,main,2026-06-15T01:20:16+00:00,2026-06-15T01:20:16+00:00,3.10.20,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.98e-7,2.51e-7,4.9e-7,2e-8,185840,1
ubuntu-latest,2026-06-15T01:20:58.721016+00:00,b6f53b2ed0697db98318fdb45e26e304763b4f9a,main,2026-06-15T01:20:16+00:00,2026-06-15T01:20:16+00:00,3.10.20,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,7.601e-6,3.423e-6,7.033e-6,1e-7,65712,1
ubuntu-latest,2026-06-15T01:20:58.721016+00:00,b6f53b2ed0697db98318fdb45e26e304763b4f9a,main,2026-06-15T01:20:16+00:00,2026-06-15T01:20:16+00:00,3.10.20,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.74e-7,5.5e-8,4.68e-7,4e-9,91576,20
ubuntu-latest,2026-06-15T01:20:58.721016+00:00,b6f53b2ed0697db98318fdb45e26e304763b4f9a,main,2026-06-15T01:20:16+00:00,2026-06-15T01:20:16+00:00,3.10.20,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,7.486e-6,1.233e-6,7.353e-6,8e-8,70642,1
ubuntu-latest,2026-06-15T01:20:58.721016+00:00,b6f53b2ed0697db98318fdb45e26e304763b4f9a,main,2026-06-15T01:20:16+00:00,2026-06-15T01:20:16+00:00,3.10.20,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.181406707,0.003413258,0.180870234,0.002799254,6,1
