testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2026-04-17T08:17:11.725489+00:00,a48a080e09fbccb0eb017579ac1e3925f27f73e0,main,2026-04-17T08:16:27+00:00,2026-04-17T08:16:27+00:00,3.10.20,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.00146252,0.000143624,0.001425466,0.000022289,564,1
ubuntu-latest,2026-04-17T08:17:11.725489+00:00,a48a080e09fbccb0eb017579ac1e3925f27f73e0,main,2026-04-17T08:16:27+00:00,2026-04-17T08:16:27+00:00,3.10.20,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.006285047,0.000156843,0.006257542,0.000074009,155,1
ubuntu-latest,2026-04-17T08:17:11.725489+00:00,a48a080e09fbccb0eb017579ac1e3925f27f73e0,main,2026-04-17T08:16:27+00:00,2026-04-17T08:16:27+00:00,3.10.20,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,2.8e-7,3.3e-8,2.76e-7,4e-9,138103,20
ubuntu-latest,2026-04-17T08:17:11.725489+00:00,a48a080e09fbccb0eb017579ac1e3925f27f73e0,main,2026-04-17T08:16:27+00:00,2026-04-17T08:16:27+00:00,3.10.20,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,5.952e-6,7.83e-7,5.869e-6,1.4e-7,81374,1
ubuntu-latest,2026-04-17T08:17:11.725489+00:00,a48a080e09fbccb0eb017579ac1e3925f27f73e0,main,2026-04-17T08:16:27+00:00,2026-04-17T08:16:27+00:00,3.10.20,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,3.93e-7,4.1e-8,3.88e-7,5e-9,121330,20
ubuntu-latest,2026-04-17T08:17:11.725489+00:00,a48a080e09fbccb0eb017579ac1e3925f27f73e0,main,2026-04-17T08:16:27+00:00,2026-04-17T08:16:27+00:00,3.10.20,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,6.112e-6,7.51e-7,6.02e-6,1.3e-7,100655,1
ubuntu-latest,2026-04-17T08:17:11.725489+00:00,a48a080e09fbccb0eb017579ac1e3925f27f73e0,main,2026-04-17T08:16:27+00:00,2026-04-17T08:16:27+00:00,3.10.20,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.146847354,0.004046273,0.144904179,0.006785729,7,1
