testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-09-22T09:13:42.973939+00:00,83542e4322df40cdf39b92d5823375e2e108d9c5,main,2025-09-22T09:13:00+00:00,2025-09-22T09:13:00+00:00,3.9.23,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.00211955,0.000342466,0.002029806,0.000010911,458,1
ubuntu-latest,2025-09-22T09:13:42.973939+00:00,83542e4322df40cdf39b92d5823375e2e108d9c5,main,2025-09-22T09:13:00+00:00,2025-09-22T09:13:00+00:00,3.9.23,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007312267,0.000872525,0.007061923,0.00010054,142,1
ubuntu-latest,2025-09-22T09:13:42.973939+00:00,83542e4322df40cdf39b92d5823375e2e108d9c5,main,2025-09-22T09:13:00+00:00,2025-09-22T09:13:00+00:00,3.9.23,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.28e-7,8e-8,4.11e-7,6e-9,110534,20
ubuntu-latest,2025-09-22T09:13:42.973939+00:00,83542e4322df40cdf39b92d5823375e2e108d9c5,main,2025-09-22T09:13:00+00:00,2025-09-22T09:13:00+00:00,3.9.23,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.584e-6,6.64e-7,4.519e-6,6e-8,106191,1
ubuntu-latest,2025-09-22T09:13:42.973939+00:00,83542e4322df40cdf39b92d5823375e2e108d9c5,main,2025-09-22T09:13:00+00:00,2025-09-22T09:13:00+00:00,3.9.23,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.2e-7,4.2e-8,4.15e-7,4e-9,107794,20
ubuntu-latest,2025-09-22T09:13:42.973939+00:00,83542e4322df40cdf39b92d5823375e2e108d9c5,main,2025-09-22T09:13:00+00:00,2025-09-22T09:13:00+00:00,3.9.23,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.624e-6,7.32e-7,4.529e-6,6e-8,96164,1
ubuntu-latest,2025-09-22T09:13:42.973939+00:00,83542e4322df40cdf39b92d5823375e2e108d9c5,main,2025-09-22T09:13:00+00:00,2025-09-22T09:13:00+00:00,3.9.23,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.216136342,0.007139395,0.21574071,0.011341956,5,1
