testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-06T11:15:57.761794+00:00,d774727bcc67d62be2177a14229e8046bd0ec5bb,main,2025-03-06T11:11:37+00:00,2025-03-06T11:11:37+00:00,3.9.21,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.002038898,0.000016435,0.002037258,0.000015368,466,1
ubuntu-latest,2025-03-06T11:15:57.761794+00:00,d774727bcc67d62be2177a14229e8046bd0ec5bb,main,2025-03-06T11:11:37+00:00,2025-03-06T11:11:37+00:00,3.9.21,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007119896,0.000428707,0.007025381,0.000151251,133,1
ubuntu-latest,2025-03-06T11:15:57.761794+00:00,d774727bcc67d62be2177a14229e8046bd0ec5bb,main,2025-03-06T11:11:37+00:00,2025-03-06T11:11:37+00:00,3.9.21,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.18e-7,4.7e-8,4.16e-7,1.4e-8,111025,20
ubuntu-latest,2025-03-06T11:15:57.761794+00:00,d774727bcc67d62be2177a14229e8046bd0ec5bb,main,2025-03-06T11:11:37+00:00,2025-03-06T11:11:37+00:00,3.9.21,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.98e-6,6.95e-7,4.909e-6,7e-8,109566,1
ubuntu-latest,2025-03-06T11:15:57.761794+00:00,d774727bcc67d62be2177a14229e8046bd0ec5bb,main,2025-03-06T11:11:37+00:00,2025-03-06T11:11:37+00:00,3.9.21,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.21e-7,3.8e-8,4.17e-7,3e-9,36100,20
ubuntu-latest,2025-03-06T11:15:57.761794+00:00,d774727bcc67d62be2177a14229e8046bd0ec5bb,main,2025-03-06T11:11:37+00:00,2025-03-06T11:11:37+00:00,3.9.21,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.877e-6,6.37e-7,4.819e-6,9.1e-8,109686,1
ubuntu-latest,2025-03-06T11:15:57.761794+00:00,d774727bcc67d62be2177a14229e8046bd0ec5bb,main,2025-03-06T11:11:37+00:00,2025-03-06T11:11:37+00:00,3.9.21,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.207726995,0.00099965,0.20739914,0.001244123,5,1
