testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-08-05T22:41:15.208372+00:00,5356d6a8ec6cdf03ac0ca3d8bee9de9bb5e20c8a,main,2025-08-05T22:39:55+00:00,2025-08-05T22:39:55+00:00,3.9.23,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.002005635,0.000012386,0.002003432,7.314e-6,470,1
ubuntu-latest,2025-08-05T22:41:15.208372+00:00,5356d6a8ec6cdf03ac0ca3d8bee9de9bb5e20c8a,main,2025-08-05T22:39:55+00:00,2025-08-05T22:39:55+00:00,3.9.23,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007043324,0.000035322,0.007038423,0.000043186,140,1
ubuntu-latest,2025-08-05T22:41:15.208372+00:00,5356d6a8ec6cdf03ac0ca3d8bee9de9bb5e20c8a,main,2025-08-05T22:39:55+00:00,2025-08-05T22:39:55+00:00,3.9.23,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.1e-7,4.1e-8,4.05e-7,3e-9,112146,20
ubuntu-latest,2025-08-05T22:41:15.208372+00:00,5356d6a8ec6cdf03ac0ca3d8bee9de9bb5e20c8a,main,2025-08-05T22:39:55+00:00,2025-08-05T22:39:55+00:00,3.9.23,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.522e-6,6.67e-7,4.468e-6,5.9e-8,106406,1
ubuntu-latest,2025-08-05T22:41:15.208372+00:00,5356d6a8ec6cdf03ac0ca3d8bee9de9bb5e20c8a,main,2025-08-05T22:39:55+00:00,2025-08-05T22:39:55+00:00,3.9.23,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.08e-7,4.6e-8,4.05e-7,8e-9,116605,20
ubuntu-latest,2025-08-05T22:41:15.208372+00:00,5356d6a8ec6cdf03ac0ca3d8bee9de9bb5e20c8a,main,2025-08-05T22:39:55+00:00,2025-08-05T22:39:55+00:00,3.9.23,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.581e-6,6.86e-7,4.528e-6,8e-8,112918,1
ubuntu-latest,2025-08-05T22:41:15.208372+00:00,5356d6a8ec6cdf03ac0ca3d8bee9de9bb5e20c8a,main,2025-08-05T22:39:55+00:00,2025-08-05T22:39:55+00:00,3.9.23,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.210104635,0.009038614,0.205803192,0.00807509,5,1
