testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-09-02T18:56:42.965605+00:00,590b9129c5126edb45d4692f87fea98caa29ae7f,main,2025-09-02T18:55:52+00:00,2025-09-02T18:55:52+00:00,3.9.23,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.002047152,0.000187418,0.001992082,0.000010828,455,1
ubuntu-latest,2025-09-02T18:56:42.965605+00:00,590b9129c5126edb45d4692f87fea98caa29ae7f,main,2025-09-02T18:55:52+00:00,2025-09-02T18:55:52+00:00,3.9.23,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007759439,0.000990756,0.007455038,0.000063985,139,1
ubuntu-latest,2025-09-02T18:56:42.965605+00:00,590b9129c5126edb45d4692f87fea98caa29ae7f,main,2025-09-02T18:55:52+00:00,2025-09-02T18:55:52+00:00,3.9.23,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.23e-7,4.2e-8,4.19e-7,5e-9,108850,20
ubuntu-latest,2025-09-02T18:56:42.965605+00:00,590b9129c5126edb45d4692f87fea98caa29ae7f,main,2025-09-02T18:55:52+00:00,2025-09-02T18:55:52+00:00,3.9.23,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.607e-6,7.1e-7,4.548e-6,6.1e-8,96071,1
ubuntu-latest,2025-09-02T18:56:42.965605+00:00,590b9129c5126edb45d4692f87fea98caa29ae7f,main,2025-09-02T18:55:52+00:00,2025-09-02T18:55:52+00:00,3.9.23,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.09e-7,4.3e-8,4.04e-7,3e-9,114864,20
ubuntu-latest,2025-09-02T18:56:42.965605+00:00,590b9129c5126edb45d4692f87fea98caa29ae7f,main,2025-09-02T18:55:52+00:00,2025-09-02T18:55:52+00:00,3.9.23,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.562e-6,6.66e-7,4.508e-6,6e-8,104189,1
ubuntu-latest,2025-09-02T18:56:42.965605+00:00,590b9129c5126edb45d4692f87fea98caa29ae7f,main,2025-09-02T18:55:52+00:00,2025-09-02T18:55:52+00:00,3.9.23,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.263781079,0.018795945,0.259728511,0.019957397,5,1
