testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-07-28T15:19:38.848704+00:00,e819eb79611e250c77502d0511bbebbb7904cebf,main,2025-07-28T15:18:04+00:00,2025-07-28T15:18:04+00:00,3.9.23,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.00199031,0.000014692,0.001987411,8.817e-6,466,1
ubuntu-latest,2025-07-28T15:19:38.848704+00:00,e819eb79611e250c77502d0511bbebbb7904cebf,main,2025-07-28T15:18:04+00:00,2025-07-28T15:18:04+00:00,3.9.23,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007163611,0.000043595,0.007154515,0.00002666,138,1
ubuntu-latest,2025-07-28T15:19:38.848704+00:00,e819eb79611e250c77502d0511bbebbb7904cebf,main,2025-07-28T15:18:04+00:00,2025-07-28T15:18:04+00:00,3.9.23,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.12e-7,4e-8,4.09e-7,5e-9,114864,20
ubuntu-latest,2025-07-28T15:19:38.848704+00:00,e819eb79611e250c77502d0511bbebbb7904cebf,main,2025-07-28T15:18:04+00:00,2025-07-28T15:18:04+00:00,3.9.23,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.561e-6,6.5e-7,4.508e-6,6e-8,116878,1
ubuntu-latest,2025-07-28T15:19:38.848704+00:00,e819eb79611e250c77502d0511bbebbb7904cebf,main,2025-07-28T15:18:04+00:00,2025-07-28T15:18:04+00:00,3.9.23,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.03e-7,1.03e-7,4e-7,7e-9,115527,20
ubuntu-latest,2025-07-28T15:19:38.848704+00:00,e819eb79611e250c77502d0511bbebbb7904cebf,main,2025-07-28T15:18:04+00:00,2025-07-28T15:18:04+00:00,3.9.23,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.576e-6,6.97e-7,4.519e-6,6.1e-8,68508,1
ubuntu-latest,2025-07-28T15:19:38.848704+00:00,e819eb79611e250c77502d0511bbebbb7904cebf,main,2025-07-28T15:18:04+00:00,2025-07-28T15:18:04+00:00,3.9.23,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.238560699,0.002235465,0.2399035,0.003644978,5,1
