testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-05-29T14:10:56.607433+00:00,fea109d10120cb632e025abca37c0f242f31833b,main,2025-05-29T14:09:36+00:00,2025-05-29T14:09:36+00:00,3.9.22,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.001989696,0.000123191,0.001960455,0.000018043,478,1
ubuntu-latest,2025-05-29T14:10:56.607433+00:00,fea109d10120cb632e025abca37c0f242f31833b,main,2025-05-29T14:09:36+00:00,2025-05-29T14:09:36+00:00,3.9.22,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007026231,0.000196993,0.006997378,0.000040446,139,1
ubuntu-latest,2025-05-29T14:10:56.607433+00:00,fea109d10120cb632e025abca37c0f242f31833b,main,2025-05-29T14:09:36+00:00,2025-05-29T14:09:36+00:00,3.9.22,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.15e-7,4.5e-8,4.1e-7,5e-9,108249,20
ubuntu-latest,2025-05-29T14:10:56.607433+00:00,fea109d10120cb632e025abca37c0f242f31833b,main,2025-05-29T14:09:36+00:00,2025-05-29T14:09:36+00:00,3.9.22,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.601e-6,8.86e-7,4.508e-6,6.1e-8,106644,1
ubuntu-latest,2025-05-29T14:10:56.607433+00:00,fea109d10120cb632e025abca37c0f242f31833b,main,2025-05-29T14:09:36+00:00,2025-05-29T14:09:36+00:00,3.9.22,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.14e-7,5.6e-8,4.08e-7,1e-8,109554,20
ubuntu-latest,2025-05-29T14:10:56.607433+00:00,fea109d10120cb632e025abca37c0f242f31833b,main,2025-05-29T14:09:36+00:00,2025-05-29T14:09:36+00:00,3.9.22,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.784e-6,1.217e-6,4.539e-6,1.21e-7,113676,1
ubuntu-latest,2025-05-29T14:10:56.607433+00:00,fea109d10120cb632e025abca37c0f242f31833b,main,2025-05-29T14:09:36+00:00,2025-05-29T14:09:36+00:00,3.9.22,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.233060031,0.004316124,0.234660571,0.00721776,5,1
