testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-08-05T09:11:31.150387+00:00,3c9223cef090064e6b4130a1788b14506e72b00e,main,2025-08-05T09:10:08+00:00,2025-08-05T09:10:08+00:00,3.9.23,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.002159335,0.000012152,0.002156683,9.117e-6,429,1
ubuntu-latest,2025-08-05T09:11:31.150387+00:00,3c9223cef090064e6b4130a1788b14506e72b00e,main,2025-08-05T09:10:08+00:00,2025-08-05T09:10:08+00:00,3.9.23,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007222239,0.000264841,0.007188383,0.000063769,133,1
ubuntu-latest,2025-08-05T09:11:31.150387+00:00,3c9223cef090064e6b4130a1788b14506e72b00e,main,2025-08-05T09:10:08+00:00,2025-08-05T09:10:08+00:00,3.9.23,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.05e-7,4.2e-8,4.01e-7,3e-9,116064,20
ubuntu-latest,2025-08-05T09:11:31.150387+00:00,3c9223cef090064e6b4130a1788b14506e72b00e,main,2025-08-05T09:10:08+00:00,2025-08-05T09:10:08+00:00,3.9.23,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.559e-6,6.71e-7,4.499e-6,5.1e-8,91233,1
ubuntu-latest,2025-08-05T09:11:31.150387+00:00,3c9223cef090064e6b4130a1788b14506e72b00e,main,2025-08-05T09:10:08+00:00,2025-08-05T09:10:08+00:00,3.9.23,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.06e-7,4.6e-8,4.02e-7,6e-9,112918,20
ubuntu-latest,2025-08-05T09:11:31.150387+00:00,3c9223cef090064e6b4130a1788b14506e72b00e,main,2025-08-05T09:10:08+00:00,2025-08-05T09:10:08+00:00,3.9.23,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.571e-6,7.79e-7,4.509e-6,5e-8,109806,1
ubuntu-latest,2025-08-05T09:11:31.150387+00:00,3c9223cef090064e6b4130a1788b14506e72b00e,main,2025-08-05T09:10:08+00:00,2025-08-05T09:10:08+00:00,3.9.23,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.231331769,0.002699089,0.231291073,0.003380493,5,1
