testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-09-22T09:13:46.203078+00:00,12db6ff70986dc6a1fbb0d9fa351abbac12ef415,main,2025-09-22T09:12:31+00:00,2025-09-22T09:12:31+00:00,3.9.23,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.00203602,0.000144715,0.002015566,0.000017903,463,1
ubuntu-latest,2025-09-22T09:13:46.203078+00:00,12db6ff70986dc6a1fbb0d9fa351abbac12ef415,main,2025-09-22T09:12:31+00:00,2025-09-22T09:12:31+00:00,3.9.23,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007081593,0.000051328,0.007067679,0.00004,141,1
ubuntu-latest,2025-09-22T09:13:46.203078+00:00,12db6ff70986dc6a1fbb0d9fa351abbac12ef415,main,2025-09-22T09:12:31+00:00,2025-09-22T09:12:31+00:00,3.9.23,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.02e-7,5e-8,3.96e-7,7e-9,114469,20
ubuntu-latest,2025-09-22T09:13:46.203078+00:00,12db6ff70986dc6a1fbb0d9fa351abbac12ef415,main,2025-09-22T09:12:31+00:00,2025-09-22T09:12:31+00:00,3.9.23,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.573e-6,6.48e-7,4.518e-6,6e-8,104844,1
ubuntu-latest,2025-09-22T09:13:46.203078+00:00,12db6ff70986dc6a1fbb0d9fa351abbac12ef415,main,2025-09-22T09:12:31+00:00,2025-09-22T09:12:31+00:00,3.9.23,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.15e-7,5.7e-8,4.07e-7,5e-9,113935,20
ubuntu-latest,2025-09-22T09:13:46.203078+00:00,12db6ff70986dc6a1fbb0d9fa351abbac12ef415,main,2025-09-22T09:12:31+00:00,2025-09-22T09:12:31+00:00,3.9.23,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.616e-6,7.03e-7,4.539e-6,6e-8,107794,1
ubuntu-latest,2025-09-22T09:13:46.203078+00:00,12db6ff70986dc6a1fbb0d9fa351abbac12ef415,main,2025-09-22T09:12:31+00:00,2025-09-22T09:12:31+00:00,3.9.23,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.215976482,0.009988494,0.212845287,0.013803456,5,1
