testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2026-09-23T15:48:41.142885+00:00,93298368c16a8ceadb348b815fa189d247eabf3f,main,2026-09-23T15:48:05+00:00,2026-09-23T15:48:05+00:00,3.10.21,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.001902364,0.000017264,0.00189863,0.000011376,451,1
ubuntu-latest,2026-09-23T15:48:41.142885+00:00,93298368c16a8ceadb348b815fa189d247eabf3f,main,2026-09-23T15:48:05+00:00,2026-09-23T15:48:05+00:00,3.10.21,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.008121274,0.000308696,0.008046902,0.000087048,116,1
ubuntu-latest,2026-09-23T15:48:41.142885+00:00,93298368c16a8ceadb348b815fa189d247eabf3f,main,2026-09-23T15:48:05+00:00,2026-09-23T15:48:05+00:00,3.10.21,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,3.42e-7,4.7e-8,3.38e-7,3e-9,111770,20
ubuntu-latest,2026-09-23T15:48:41.142885+00:00,93298368c16a8ceadb348b815fa189d247eabf3f,main,2026-09-23T15:48:05+00:00,2026-09-23T15:48:05+00:00,3.10.21,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,8.432e-6,1.507e-6,8.235e-6,9.9e-8,56938,1
ubuntu-latest,2026-09-23T15:48:41.142885+00:00,93298368c16a8ceadb348b815fa189d247eabf3f,main,2026-09-23T15:48:05+00:00,2026-09-23T15:48:05+00:00,3.10.21,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.97e-7,7.1e-8,4.97e-7,2.8e-8,90736,20
ubuntu-latest,2026-09-23T15:48:41.142885+00:00,93298368c16a8ceadb348b815fa189d247eabf3f,main,2026-09-23T15:48:05+00:00,2026-09-23T15:48:05+00:00,3.10.21,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,8.76e-6,2.477e-6,8.396e-6,1.31e-7,65241,1
ubuntu-latest,2026-09-23T15:48:41.142885+00:00,93298368c16a8ceadb348b815fa189d247eabf3f,main,2026-09-23T15:48:05+00:00,2026-09-23T15:48:05+00:00,3.10.21,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.200055623,0.00358668,0.199926836,0.005495014,5,1
