testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2026-03-09T23:18:41.255421+00:00,494c7dcfe7aa09cbce2a14f9ef78d25966a6b881,main,2026-03-09T23:17:57+00:00,2026-03-09T23:17:57+00:00,3.9.25,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.002244472,0.000070212,0.002228867,8.823e-6,429,1
ubuntu-latest,2026-03-09T23:18:41.255421+00:00,494c7dcfe7aa09cbce2a14f9ef78d25966a6b881,main,2026-03-09T23:17:57+00:00,2026-03-09T23:17:57+00:00,3.9.25,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.008195277,0.00007092,0.008177068,0.000081405,120,1
ubuntu-latest,2026-03-09T23:18:41.255421+00:00,494c7dcfe7aa09cbce2a14f9ef78d25966a6b881,main,2026-03-09T23:17:57+00:00,2026-03-09T23:17:57+00:00,3.9.25,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.17e-7,4.6e-8,4.11e-7,3e-9,112715,20
ubuntu-latest,2026-03-09T23:18:41.255421+00:00,494c7dcfe7aa09cbce2a14f9ef78d25966a6b881,main,2026-03-09T23:17:57+00:00,2026-03-09T23:17:57+00:00,3.9.25,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,7.591e-6,6.98e-7,7.518e-6,8.9e-8,66292,1
ubuntu-latest,2026-03-09T23:18:41.255421+00:00,494c7dcfe7aa09cbce2a14f9ef78d25966a6b881,main,2026-03-09T23:17:57+00:00,2026-03-09T23:17:57+00:00,3.9.25,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,5.72e-7,3.6e-8,5.68e-7,3e-9,84453,20
ubuntu-latest,2026-03-09T23:18:41.255421+00:00,494c7dcfe7aa09cbce2a14f9ef78d25966a6b881,main,2026-03-09T23:17:57+00:00,2026-03-09T23:17:57+00:00,3.9.25,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,7.722e-6,6.52e-7,7.657e-6,1.02e-7,63817,1
ubuntu-latest,2026-03-09T23:18:41.255421+00:00,494c7dcfe7aa09cbce2a14f9ef78d25966a6b881,main,2026-03-09T23:17:57+00:00,2026-03-09T23:17:57+00:00,3.9.25,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.245975604,0.004702663,0.248178581,0.007259996,5,1
