testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2026-03-16T23:26:05.318935+00:00,1a5f7cd7f437ea2e8b4ed1435ab5bd4c3ab5737e,main,2026-03-16T23:25:21+00:00,2026-03-16T23:25:21+00:00,3.10.20,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.001820242,0.000041061,0.00181493,7.596e-6,483,1
ubuntu-latest,2026-03-16T23:26:05.318935+00:00,1a5f7cd7f437ea2e8b4ed1435ab5bd4c3ab5737e,main,2026-03-16T23:25:21+00:00,2026-03-16T23:25:21+00:00,3.10.20,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007775885,0.000058375,0.007767988,0.000054852,125,1
ubuntu-latest,2026-03-16T23:26:05.318935+00:00,1a5f7cd7f437ea2e8b4ed1435ab5bd4c3ab5737e,main,2026-03-16T23:25:21+00:00,2026-03-16T23:25:21+00:00,3.10.20,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,3.61e-7,4.3e-8,3.56e-7,3e-9,109207,20
ubuntu-latest,2026-03-16T23:26:05.318935+00:00,1a5f7cd7f437ea2e8b4ed1435ab5bd4c3ab5737e,main,2026-03-16T23:25:21+00:00,2026-03-16T23:25:21+00:00,3.10.20,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,7.382e-6,1.002e-6,7.264e-6,1.09e-7,65755,1
ubuntu-latest,2026-03-16T23:26:05.318935+00:00,1a5f7cd7f437ea2e8b4ed1435ab5bd4c3ab5737e,main,2026-03-16T23:25:21+00:00,2026-03-16T23:25:21+00:00,3.10.20,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,5.09e-7,5.2e-8,5.02e-7,4e-9,88567,20
ubuntu-latest,2026-03-16T23:26:05.318935+00:00,1a5f7cd7f437ea2e8b4ed1435ab5bd4c3ab5737e,main,2026-03-16T23:25:21+00:00,2026-03-16T23:25:21+00:00,3.10.20,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,7.628e-6,1.015e-6,7.505e-6,1e-7,72380,1
ubuntu-latest,2026-03-16T23:26:05.318935+00:00,1a5f7cd7f437ea2e8b4ed1435ab5bd4c3ab5737e,main,2026-03-16T23:25:21+00:00,2026-03-16T23:25:21+00:00,3.10.20,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.164687286,0.000484331,0.164495529,0.000432929,6,1
