testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-11-25T13:42:13.881425+00:00,8b3d6cad24a6cd97eb9097cbb2497d5f3c6f936b,main,2025-11-25T13:41:29+00:00,2025-11-25T13:41:29+00:00,3.9.25,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.002321355,0.000034475,0.002317209,0.000015238,416,1
ubuntu-latest,2025-11-25T13:42:13.881425+00:00,8b3d6cad24a6cd97eb9097cbb2497d5f3c6f936b,main,2025-11-25T13:41:29+00:00,2025-11-25T13:41:29+00:00,3.9.25,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.008353659,0.000247203,0.008321089,0.000053769,91,1
ubuntu-latest,2025-11-25T13:42:13.881425+00:00,8b3d6cad24a6cd97eb9097cbb2497d5f3c6f936b,main,2025-11-25T13:41:29+00:00,2025-11-25T13:41:29+00:00,3.9.25,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.6e-7,9.4e-8,4.47e-7,2.9e-8,109927,20
ubuntu-latest,2025-11-25T13:42:13.881425+00:00,8b3d6cad24a6cd97eb9097cbb2497d5f3c6f936b,main,2025-11-25T13:41:29+00:00,2025-11-25T13:41:29+00:00,3.9.25,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,8.363e-6,3.671e-6,7.144e-6,3.5e-7,41417,1
ubuntu-latest,2025-11-25T13:42:13.881425+00:00,8b3d6cad24a6cd97eb9097cbb2497d5f3c6f936b,main,2025-11-25T13:41:29+00:00,2025-11-25T13:41:29+00:00,3.9.25,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,5.3e-7,8.1e-8,5.16e-7,9e-9,87169,20
ubuntu-latest,2025-11-25T13:42:13.881425+00:00,8b3d6cad24a6cd97eb9097cbb2497d5f3c6f936b,main,2025-11-25T13:41:29+00:00,2025-11-25T13:41:29+00:00,3.9.25,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,7.604e-6,9.74e-7,7.494e-6,7e-8,63256,1
ubuntu-latest,2025-11-25T13:42:13.881425+00:00,8b3d6cad24a6cd97eb9097cbb2497d5f3c6f936b,main,2025-11-25T13:41:29+00:00,2025-11-25T13:41:29+00:00,3.9.25,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.244428985,0.005476923,0.246021738,0.007170871,5,1
