testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2026-06-15T01:37:02.688412+00:00,ff276673101519a92e212a0dfb5395fcdd3993ad,main,2026-06-15T01:36:17+00:00,2026-06-15T01:36:17+00:00,3.10.20,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.001846777,0.000018243,0.001843613,6.966e-6,473,1
ubuntu-latest,2026-06-15T01:37:02.688412+00:00,ff276673101519a92e212a0dfb5395fcdd3993ad,main,2026-06-15T01:36:17+00:00,2026-06-15T01:36:17+00:00,3.10.20,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007788029,0.000456625,0.007703047,0.000066805,126,1
ubuntu-latest,2026-06-15T01:37:02.688412+00:00,ff276673101519a92e212a0dfb5395fcdd3993ad,main,2026-06-15T01:36:17+00:00,2026-06-15T01:36:17+00:00,3.10.20,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,3.56e-7,4.3e-8,3.52e-7,2e-9,34242,20
ubuntu-latest,2026-06-15T01:37:02.688412+00:00,ff276673101519a92e212a0dfb5395fcdd3993ad,main,2026-06-15T01:36:17+00:00,2026-06-15T01:36:17+00:00,3.10.20,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,7.235e-6,1.127e-6,7.104e-6,9e-8,69459,1
ubuntu-latest,2026-06-15T01:37:02.688412+00:00,ff276673101519a92e212a0dfb5395fcdd3993ad,main,2026-06-15T01:36:17+00:00,2026-06-15T01:36:17+00:00,3.10.20,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,5.02e-7,1.13e-7,4.71e-7,1.3e-8,90327,20
ubuntu-latest,2026-06-15T01:37:02.688412+00:00,ff276673101519a92e212a0dfb5395fcdd3993ad,main,2026-06-15T01:36:17+00:00,2026-06-15T01:36:17+00:00,3.10.20,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,7.406e-6,1.269e-6,7.274e-6,8.9e-8,67214,1
ubuntu-latest,2026-06-15T01:37:02.688412+00:00,ff276673101519a92e212a0dfb5395fcdd3993ad,main,2026-06-15T01:36:17+00:00,2026-06-15T01:36:17+00:00,3.10.20,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.180212218,0.004102468,0.180404885,0.005847563,6,1
