testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-09-03T01:00:47.481791+00:00,c44c9c12a906cf8f4ad33e6d0f315c0c163bd466,main,2025-09-03T01:00:00+00:00,2025-09-03T01:00:00+00:00,3.9.23,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.001993946,0.000023151,0.001989296,6.813e-6,470,1
ubuntu-latest,2025-09-03T01:00:47.481791+00:00,c44c9c12a906cf8f4ad33e6d0f315c0c163bd466,main,2025-09-03T01:00:00+00:00,2025-09-03T01:00:00+00:00,3.9.23,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007006495,0.000052624,0.006990294,0.000032011,139,1
ubuntu-latest,2025-09-03T01:00:47.481791+00:00,c44c9c12a906cf8f4ad33e6d0f315c0c163bd466,main,2025-09-03T01:00:00+00:00,2025-09-03T01:00:00+00:00,3.9.23,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.09e-7,4.1e-8,4.05e-7,3e-9,118540,20
ubuntu-latest,2025-09-03T01:00:47.481791+00:00,c44c9c12a906cf8f4ad33e6d0f315c0c163bd466,main,2025-09-03T01:00:00+00:00,2025-09-03T01:00:00+00:00,3.9.23,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.624e-6,6.59e-7,4.568e-6,5e-8,98532,1
ubuntu-latest,2025-09-03T01:00:47.481791+00:00,c44c9c12a906cf8f4ad33e6d0f315c0c163bd466,main,2025-09-03T01:00:00+00:00,2025-09-03T01:00:00+00:00,3.9.23,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.05e-7,4.2e-8,4.01e-7,3e-9,115248,20
ubuntu-latest,2025-09-03T01:00:47.481791+00:00,c44c9c12a906cf8f4ad33e6d0f315c0c163bd466,main,2025-09-03T01:00:00+00:00,2025-09-03T01:00:00+00:00,3.9.23,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.613e-6,7.06e-7,4.549e-6,5.1e-8,102470,1
ubuntu-latest,2025-09-03T01:00:47.481791+00:00,c44c9c12a906cf8f4ad33e6d0f315c0c163bd466,main,2025-09-03T01:00:00+00:00,2025-09-03T01:00:00+00:00,3.9.23,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.231367236,0.009666757,0.231088557,0.013609944,5,1
