testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-09-02T07:14:07.540303+00:00,63dcd9fdd97ef39ceca7f2abab7d0b5bb3fe45a3,main,2025-09-02T07:13:25+00:00,2025-09-02T07:13:25+00:00,3.9.23,benchmark_any_overlapping,benchmarks/benchmark_ranges.py::benchmark_any_overlapping,0.001997904,0.000021845,0.001993538,7.973e-6,465,1
ubuntu-latest,2025-09-02T07:14:07.540303+00:00,63dcd9fdd97ef39ceca7f2abab7d0b5bb3fe45a3,main,2025-09-02T07:13:25+00:00,2025-09-02T07:13:25+00:00,3.9.23,benchmark_any_gaps,benchmarks/benchmark_ranges.py::benchmark_any_gaps,0.007000689,0.000057352,0.006970977,0.000099406,142,1
ubuntu-latest,2025-09-02T07:14:07.540303+00:00,63dcd9fdd97ef39ceca7f2abab7d0b5bb3fe45a3,main,2025-09-02T07:13:25+00:00,2025-09-02T07:13:25+00:00,3.9.23,benchmark_intersection_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_none,4.13e-7,4.1e-8,4.04e-7,1.9e-8,112918,20
ubuntu-latest,2025-09-02T07:14:07.540303+00:00,63dcd9fdd97ef39ceca7f2abab7d0b5bb3fe45a3,main,2025-09-02T07:13:25+00:00,2025-09-02T07:13:25+00:00,3.9.23,benchmark_intersection_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_intersection_is_not_none,4.524e-6,6.73e-7,4.468e-6,9.9e-8,105843,1
ubuntu-latest,2025-09-02T07:14:07.540303+00:00,63dcd9fdd97ef39ceca7f2abab7d0b5bb3fe45a3,main,2025-09-02T07:13:25+00:00,2025-09-02T07:13:25+00:00,3.9.23,benchmark_union_is_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_none,4.06e-7,4.3e-8,4.04e-7,1e-8,113033,20
ubuntu-latest,2025-09-02T07:14:07.540303+00:00,63dcd9fdd97ef39ceca7f2abab7d0b5bb3fe45a3,main,2025-09-02T07:13:25+00:00,2025-09-02T07:13:25+00:00,3.9.23,benchmark_union_is_not_none,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_union_is_not_none,4.598e-6,6.68e-7,4.539e-6,6e-8,113431,1
ubuntu-latest,2025-09-02T07:14:07.540303+00:00,63dcd9fdd97ef39ceca7f2abab7d0b5bb3fe45a3,main,2025-09-02T07:13:25+00:00,2025-09-02T07:13:25+00:00,3.9.23,benchmark_sorting,benchmarks/benchmark_ranges.py::BenchmarkFiniteDatetimeRange::benchmark_sorting,0.198388187,0.001445561,0.197722487,0.002111384,5,1
